metric,value,step
lr-AdamW,0.00035493230097927153,49.0
lr-AdamW,0.00035493230097927153,99.0
lr-AdamW,0.0003513830015435815,149.0
lr-AdamW,0.0003513830015435815,199.0
lr-AdamW,0.00034786915057338774,249.0
lr-AdamW,0.00034786915057338774,299.0
lr-AdamW,0.00034439045703038573,349.0
lr-AdamW,0.00034439045703038573,399.0
lr-AdamW,0.00034094657166861,449.0
lr-AdamW,0.00034094657166861,499.0
lr-AdamW,0.0003375370870344341,549.0
lr-AdamW,0.0003375370870344341,599.0
lr-AdamW,0.00033416174119338393,649.0
lr-AdamW,0.00033416174119338393,699.0
lr-AdamW,0.0003308200975880027,749.0
lr-AdamW,0.0003308200975880027,799.0
train/seg_loss,0.0,49.0
train/seg_loss,0.0,99.0
train/seg_loss,0.0,149.0
train/seg_loss,0.0,199.0
train/seg_loss,0.0,249.0
train/seg_loss,0.0,299.0
train/seg_loss,0.0,349.0
train/seg_loss,0.0,399.0
train/seg_loss,0.0,449.0
train/seg_loss,0.0,499.0
train/seg_loss,0.0,549.0
train/seg_loss,0.0,599.0
train/seg_loss,0.0,649.0
train/seg_loss,0.0,699.0
train/seg_loss,0.0,749.0
train/seg_loss,0.0,799.0
train/scene_loss,0.9260696768760681,49.0
train/scene_loss,1.7746224403381348,99.0
train/scene_loss,0.485270619392395,149.0
train/scene_loss,1.6760518550872803,199.0
train/scene_loss,0.5935184955596924,249.0
train/scene_loss,1.3126201629638672,299.0
train/scene_loss,0.7310461401939392,349.0
train/scene_loss,1.7762476205825806,399.0
train/scene_loss,0.8130243420600891,449.0
train/scene_loss,0.6512795090675354,499.0
train/scene_loss,0.9481441378593445,549.0
train/scene_loss,1.1581313610076904,599.0
train/scene_loss,1.185987114906311,649.0
train/scene_loss,0.19110286235809326,699.0
train/scene_loss,0.32650843262672424,749.0
train/scene_loss,0.37858328223228455,799.0
train/loss,0.9260696768760681,49.0
train/loss,1.7746224403381348,99.0
train/loss,0.485270619392395,149.0
train/loss,1.6760518550872803,199.0
train/loss,0.5935184955596924,249.0
train/loss,1.3126201629638672,299.0
train/loss,0.7310461401939392,349.0
train/loss,1.7762476205825806,399.0
train/loss,0.8130243420600891,449.0
train/loss,0.6512795090675354,499.0
train/loss,0.9481441378593445,549.0
train/loss,1.1581313610076904,599.0
train/loss,1.185987114906311,649.0
