metric,value,step
lr-AdamW,3.336255394970067e-05,49.0
lr-AdamW,3.336255394970067e-05,99.0
lr-AdamW,3.3028929465217516e-05,149.0
lr-AdamW,3.3028929465217516e-05,199.0
lr-AdamW,3.269863736932166e-05,249.0
lr-AdamW,3.269863736932166e-05,299.0
lr-AdamW,3.237165219616145e-05,349.0
lr-AdamW,3.237165219616145e-05,399.0
lr-AdamW,3.2047937565948814e-05,449.0
lr-AdamW,3.2047937565948814e-05,499.0
lr-AdamW,3.1727457098895684e-05,549.0
lr-AdamW,3.1727457098895684e-05,599.0
lr-AdamW,3.14101816911716e-05,649.0
lr-AdamW,3.14101816911716e-05,699.0
lr-AdamW,3.10960786009673e-05,749.0
lr-AdamW,3.10960786009673e-05,799.0
lr-AdamW,3.078511872445233e-05,849.0
lr-AdamW,3.078511872445233e-05,899.0
lr-AdamW,3.047726750082802e-05,949.0
lr-AdamW,3.047726750082802e-05,999.0
train/seg_loss,0.0,49.0
train/seg_loss,0.0,99.0
train/seg_loss,0.0,149.0
train/seg_loss,0.0,199.0
train/seg_loss,0.0,249.0
train/seg_loss,0.0,299.0
train/seg_loss,0.0,349.0
train/seg_loss,0.0,399.0
train/seg_loss,0.0,449.0
train/seg_loss,0.0,499.0
train/seg_loss,0.0,549.0
train/seg_loss,0.0,599.0
train/seg_loss,0.0,649.0
train/seg_loss,0.0,699.0
train/seg_loss,0.0,749.0
train/seg_loss,0.0,799.0
train/seg_loss,0.0,849.0
train/seg_loss,0.0,899.0
train/seg_loss,0.0,949.0
train/seg_loss,0.0,999.0
train/scene_loss,1.6941508054733276,49.0
train/scene_loss,2.764165163040161,99.0
train/scene_loss,1.4650973081588745,149.0
train/scene_loss,0.9399067163467407,199.0
train/scene_loss,0.7762424349784851,249.0
train/scene_loss,0.8073790073394775,299.0
train/scene_loss,0.4575609862804413,349.0
train/scene_loss,1.3233013153076172,399.0
train/scene_loss,0.3031553328037262,449.0
train/scene_loss,0.8201774954795837,499.0
train/scene_loss,0.13377197086811066,549.0
train/scene_loss,0.8413277864456177,599.0
train/scene_loss,0.06887359917163849,649.0
train/scene_loss,0.13789789378643036,699.0
train/scene_loss,0.07145971804857254,749.0
train/scene_loss,0.35114723443984985,799.0
train/scene_loss,0.0931662991642952,849.0
train/scene_loss,0.04225773736834526,899.0
train/scene_loss,0.07674885541200638,949.0
train/scene_loss,1.2510298490524292,999.0
train/loss,1.6941508054733276,49.0
train/loss,2.764165163040161,99.0
train/loss,1.4650973081588745,149.0
train/loss,0.9399067163467407,199.0
train/loss,0.7762424349784851,249.0
train/loss,0.8073790073394775,299.0
train/loss,0.4575609862804413,349.0
train/loss,1.3233013153076172,399.0
train/loss,0.3031553328037262,449.0
train/loss,0.8201774954795837,499.0
train/loss,0.13377197086811066,549.0
train/loss,0.8413277864456177,599.0
train/loss,0.06887359917163849,649.0
train/loss,0.13789789378643036,699.0
train/loss,0.07145971804857254,749.0
train/loss,0.35114723443984985,799.0
train/loss,0.0931662991642952,849.0
train/loss,0.04225773736834526,899.0
train/loss,0.07674885541200638,949.0
train/loss,1.2510298490524292,999.0
epoch,0.0,49.0
epoch,0.0,99.0
epoch,0.0,99.0
epoch,1.0,149.0
epoch,1.0,199.0
epoch,1.0,199.0
epoch,2.0,249.0
epoch,2.0,299.0
epoch,2.0,299.0
epoch,3.0,349.0
epoch,3.0,399.0
epoch,3.0,399.0
epoch,4.0,449.0
epoch,4.0,499.0
epoch,4.0,499.0
epoch,5.0,549.0
epoch,5.0,599.0
epoch,5.0,599.0
epoch,6.0,649.0
epoch,6.0,699.0
epoch,6.0,699.0
epoch,7.0,749.0
epoch,7.0,799.0
epoch,7.0,799.0
epoch,8.0,849.0
epoch,8.0,899.0
epoch,8.0,899.0
epoch,9.0,949.0
epoch,9.0,999.0
epoch,9.0,999.0
val/seg_loss,0.0,99.0
val/seg_loss,0.0,199.0
val/seg_loss,0.0,299.0
val/seg_loss,0.0,399.0
val/seg_loss,0.0,499.0
val/seg_loss,0.0,599.0
val/seg_loss,0.0,699.0
val/seg_loss,0.0,799.0
val/seg_loss,0.0,899.0
val/seg_loss,0.0,999.0
val/scene_loss,1.3353478908538818,99.0
val/scene_loss,1.1623990535736084,199.0
val/scene_loss,1.1018650531768799,299.0
val/scene_loss,1.095001220703125,399.0
val/scene_loss,1.0870829820632935,499.0
val/scene_loss,1.064257025718689,599.0
val/scene_loss,1.0144840478897095,699.0
val/scene_loss,1.0634652376174927,799.0
val/scene_loss,1.0137771368026733,899.0
val/scene_loss,1.0386775732040405,999.0
val/loss,1.3353478908538818,99.0
val/loss,1.1623990535736084,199.0
val/loss,1.1018650531768799,299.0
val/loss,1.095001220703125,399.0
val/loss,1.0870829820632935,499.0
val/loss,1.064257025718689,599.0
val/loss,1.0144840478897095,699.0
val/loss,1.0634652376174927,799.0
val/loss,1.0137771368026733,899.0
val/loss,1.0386775732040405,999.0
test/classification/F1Score/other_indoor,0.5742574334144592,1000.0
test/classification/F1Score/kitchen,0.7305389642715454,1000.0
test/classification/F1Score/bedroom,0.7766990661621094,1000.0
test/classification/F1Score/living_room,0.5,1000.0
test/classification/F1Score/bathroom,0.8235294222831726,1000.0
test/classification/F1Score/office,0.40449437499046326,1000.0
test/classification/F1Score/dining_room,0.6138613820075989,1000.0
test/classification/MulticlassAccuracy/other_indoor,0.5471698045730591,1000.0
test/classification/MulticlassAccuracy/kitchen,0.7176470756530762,1000.0
test/classification/MulticlassAccuracy/bedroom,0.7843137383460999,1000.0
test/classification/MulticlassAccuracy/living_room,0.569767415523529,1000.0
test/classification/MulticlassAccuracy/bathroom,0.760869562625885,1000.0
test/classification/MulticlassAccuracy/office,0.31578946113586426,1000.0
test/classification/MulticlassAccuracy/dining_room,0.7045454382896423,1000.0
test/classification/macro/F1Score,0.6319115161895752,1000.0
test/classification/macro/MulticlassAccuracy,0.6285860538482666,1000.0
test/segmentation/MulticlassJaccardIndex/window,0.04162862151861191,1000.0
test/segmentation/MulticlassJaccardIndex/bed,0.008709577843546867,1000.0
test/segmentation/MulticlassJaccardIndex/books,0.009471519850194454,1000.0
test/segmentation/MulticlassJaccardIndex/ceiling,0.00655391113832593,1000.0
test/segmentation/MulticlassJaccardIndex/chair,0.017145009711384773,1000.0
test/segmentation/MulticlassJaccardIndex/floor,0.00589315639808774,1000.0
test/segmentation/MulticlassJaccardIndex/furniture,0.004772011190652847,1000.0
test/segmentation/MulticlassJaccardIndex/objects,0.10436438769102097,1000.0
test/segmentation/MulticlassJaccardIndex/picture,0.018840301781892776,1000.0
test/segmentation/MulticlassJaccardIndex/sofa,0.00308946892619133,1000.0
test/segmentation/MulticlassJaccardIndex/table,0.006105873268097639,1000.0
test/segmentation/MulticlassJaccardIndex/tv,0.00790525134652853,1000.0
test/segmentation/MulticlassJaccardIndex/wall,0.007983312010765076,1000.0
test/segmentation/MulticlassAccuracy/window,0.07979089021682739,1000.0
test/segmentation/MulticlassAccuracy/bed,0.010702969506382942,1000.0
test/segmentation/MulticlassAccuracy/books,0.07716004550457001,1000.0
test/segmentation/MulticlassAccuracy/ceiling,0.09283965826034546,1000.0
test/segmentation/MulticlassAccuracy/chair,0.08097513765096664,1000.0
test/segmentation/MulticlassAccuracy/floor,0.006424971390515566,1000.0
test/segmentation/MulticlassAccuracy/furniture,0.004918746184557676,1000.0
test/segmentation/MulticlassAccuracy/objects,0.2919039726257324,1000.0
test/segmentation/MulticlassAccuracy/picture,0.07233094424009323,1000.0
test/segmentation/MulticlassAccuracy/sofa,0.0035319989547133446,1000.0
test/segmentation/MulticlassAccuracy/table,0.010945228859782219,1000.0
test/segmentation/MulticlassAccuracy/tv,0.11635442078113556,1000.0
test/segmentation/MulticlassAccuracy/wall,0.008052188903093338,1000.0
test/segmentation/macro/MulticlassJaccardIndex,0.018650952726602554,1000.0
test/segmentation/macro/MulticlassAccuracy,0.06584085524082184,1000.0
epoch,8.0,1000.0
