metric,value,step
lr-AdamW,0.0001629483886063099,49.0
lr-AdamW,0.0001629483886063099,99.0
lr-AdamW,0.00016131890879478306,149.0
lr-AdamW,0.00016131890879478306,199.0
lr-AdamW,0.000159705727128312,249.0
lr-AdamW,0.000159705727128312,299.0
train/seg_loss,1.3495806455612183,49.0
train/seg_loss,1.2618812322616577,99.0
train/seg_loss,0.9911237359046936,149.0
train/seg_loss,1.226090669631958,199.0
train/seg_loss,0.6568819880485535,249.0
train/seg_loss,0.6464535593986511,299.0
train/seg_loss,0.5008199214935303,349.0
train/seg_loss,0.6492084860801697,399.0
train/seg_loss,0.4868637025356293,449.0
train/seg_loss,0.796343207359314,499.0
train/seg_loss,0.5020372271537781,549.0
train/seg_loss,0.7490469813346863,599.0
train/seg_loss,0.5757151246070862,649.0
train/seg_loss,0.5885153412818909,699.0
train/scene_loss,1.6060017347335815,49.0
train/scene_loss,2.2267704010009766,99.0
train/scene_loss,1.4242643117904663,149.0
train/scene_loss,1.3017302751541138,199.0
train/scene_loss,1.073241949081421,249.0
train/scene_loss,1.5544594526290894,299.0
train/scene_loss,0.7823286652565002,349.0
train/scene_loss,1.546894907951355,399.0
train/scene_loss,0.7296123504638672,449.0
train/scene_loss,1.9089664220809937,499.0
train/scene_loss,0.9433758854866028,549.0
train/scene_loss,1.010145664215088,599.0
train/scene_loss,0.7738638520240784,649.0
train/scene_loss,0.6894087195396423,699.0
train/loss,2.9555823802948,49.0
train/loss,3.488651752471924,99.0
train/loss,2.4153881072998047,149.0
train/loss,2.5278210639953613,199.0
train/loss,1.7301239967346191,249.0
train/loss,2.2009129524230957,299.0
train/loss,1.2831485271453857,349.0
train/loss,2.19610333442688,399.0
train/loss,1.2164760828018188,449.0
train/loss,2.7053096294403076,499.0
train/loss,1.4454131126403809,549.0
train/loss,1.759192705154419,599.0
train/loss,1.3495789766311646,649.0
train/loss,1.2779240608215332,699.0
epoch,0.0,49.0
epoch,0.0,99.0
epoch,0.0,99.0
epoch,1.0,149.0
epoch,1.0,199.0
epoch,1.0,199.0
epoch,2.0,249.0
epoch,2.0,299.0
epoch,2.0,299.0
epoch,3.0,349.0
epoch,3.0,399.0
epoch,3.0,399.0
epoch,4.0,449.0
epoch,4.0,499.0
epoch,4.0,499.0
epoch,5.0,549.0
epoch,5.0,599.0
epoch,5.0,599.0
epoch,6.0,649.0
epoch,6.0,699.0
epoch,6.0,699.0
val/seg_loss,1.3285441398620605,99.0
