metric,value,step
lr-AdamW,9.159876935882494e-05,49.0
lr-AdamW,9.159876935882494e-05,99.0
lr-AdamW,9.068277722690254e-05,149.0
lr-AdamW,9.068277722690254e-05,199.0
lr-AdamW,8.977595280157402e-05,249.0
lr-AdamW,8.977595280157402e-05,299.0
lr-AdamW,8.887819421943277e-05,349.0
lr-AdamW,8.887819421943277e-05,399.0
lr-AdamW,8.798940689302981e-05,449.0
lr-AdamW,8.798940689302981e-05,499.0
lr-AdamW,8.710951806278899e-05,549.0
lr-AdamW,8.710951806278899e-05,599.0
lr-AdamW,8.623841858934611e-05,649.0
lr-AdamW,8.623841858934611e-05,699.0
lr-AdamW,8.537603571312502e-05,749.0
lr-AdamW,8.537603571312502e-05,799.0
lr-AdamW,8.452227484667674e-05,849.0
lr-AdamW,8.452227484667674e-05,899.0
train/seg_loss,1.6996725797653198,49.0
train/seg_loss,1.744041085243225,99.0
train/seg_loss,0.9133495092391968,149.0
train/seg_loss,1.0759661197662354,199.0
train/seg_loss,1.076141357421875,249.0
train/seg_loss,0.8714478015899658,299.0
train/seg_loss,0.6769636869430542,349.0
train/seg_loss,0.858508825302124,399.0
train/seg_loss,0.6588689684867859,449.0
train/seg_loss,1.7761549949645996,499.0
train/seg_loss,0.6371620893478394,549.0
train/seg_loss,0.6668744087219238,599.0
train/seg_loss,0.5893135666847229,649.0
train/seg_loss,0.564842700958252,699.0
train/seg_loss,0.37571245431900024,749.0
train/seg_loss,0.5242068767547607,799.0
train/seg_loss,0.45507416129112244,849.0
train/seg_loss,0.7145878076553345,899.0
train/scene_loss,1.1413675546646118,49.0
train/scene_loss,1.496341347694397,99.0
train/scene_loss,0.8374341130256653,149.0
train/scene_loss,1.1825809478759766,199.0
train/scene_loss,0.36729899048805237,249.0
train/scene_loss,0.7428037524223328,299.0
train/scene_loss,0.2535203993320465,349.0
train/scene_loss,1.815617561340332,399.0
train/scene_loss,0.21399636566638947,449.0
train/scene_loss,1.8872843980789185,499.0
train/scene_loss,0.14295628666877747,549.0
train/scene_loss,0.46939900517463684,599.0
train/scene_loss,0.2040514349937439,649.0
train/scene_loss,0.160400390625,699.0
train/scene_loss,0.2495630830526352,749.0
train/scene_loss,1.1487988233566284,799.0
train/scene_loss,0.07257737964391708,849.0
train/scene_loss,0.03747648000717163,899.0
train/loss,2.8410401344299316,49.0
train/loss,3.240382432937622,99.0
train/loss,1.7507836818695068,149.0
train/loss,2.258547067642212,199.0
train/loss,1.443440318107605,249.0
train/loss,1.6142516136169434,299.0
train/loss,0.9304840564727783,349.0
train/loss,2.674126386642456,399.0
train/loss,0.8728653192520142,449.0
train/loss,3.6634392738342285,499.0
train/loss,0.7801183462142944,549.0
train/loss,1.1362733840942383,599.0
train/loss,0.7933650016784668,649.0
train/loss,0.725243091583252,699.0
train/loss,0.6252755522727966,749.0
train/loss,1.6730057001113892,799.0
train/loss,0.5276515483856201,849.0
train/loss,0.7520642876625061,899.0
epoch,0.0,49.0
epoch,0.0,99.0
epoch,0.0,99.0
epoch,1.0,149.0
epoch,1.0,199.0
epoch,1.0,199.0
epoch,2.0,249.0
epoch,2.0,299.0
epoch,2.0,299.0
epoch,3.0,349.0
epoch,3.0,399.0
epoch,3.0,399.0
epoch,4.0,449.0
epoch,4.0,499.0
epoch,4.0,499.0
epoch,5.0,549.0
epoch,5.0,599.0
epoch,5.0,599.0
epoch,6.0,649.0
epoch,6.0,699.0
epoch,6.0,699.0
epoch,7.0,749.0
epoch,7.0,799.0
epoch,7.0,799.0
epoch,8.0,849.0
epoch,8.0,899.0
epoch,8.0,899.0
val/seg_loss,1.359595537185669,99.0
val/seg_loss,1.1535335779190063,199.0
val/seg_loss,1.1368452310562134,299.0
val/seg_loss,1.1004756689071655,399.0
val/seg_loss,1.0712753534317017,499.0
val/seg_loss,1.0833072662353516,599.0
val/seg_loss,1.0684603452682495,699.0
val/seg_loss,1.1018972396850586,799.0
val/seg_loss,1.1072815656661987,899.0
val/scene_loss,1.164026141166687,99.0
val/scene_loss,1.143252968788147,199.0
val/scene_loss,1.0797748565673828,299.0
val/scene_loss,1.078461766242981,399.0
val/scene_loss,1.1824190616607666,499.0
val/scene_loss,0.9482976794242859,599.0
val/scene_loss,1.0840122699737549,699.0
val/scene_loss,1.062198281288147,799.0
val/scene_loss,1.0521899461746216,899.0
val/loss,2.5236220359802246,99.0
val/loss,2.2967867851257324,199.0
val/loss,2.2166202068328857,299.0
val/loss,2.1789371967315674,399.0
val/loss,2.2536942958831787,499.0
val/loss,2.031604766845703,599.0
val/loss,2.152472496032715,699.0
val/loss,2.164095401763916,799.0
val/loss,2.1594717502593994,899.0
test/classification/F1Score/other_indoor,0.5714285969734192,900.0
test/classification/F1Score/kitchen,0.7972972989082336,900.0
