metric,value,step
lr-AdamW,0.00012682355009019375,49.0
lr-AdamW,0.00012682355009019375,99.0
lr-AdamW,0.00012555532157421112,149.0
lr-AdamW,0.00012555532157421112,199.0
lr-AdamW,0.0001242997677763924,249.0
lr-AdamW,0.0001242997677763924,299.0
lr-AdamW,0.00012305675772950053,349.0
lr-AdamW,0.00012305675772950053,399.0
lr-AdamW,0.00012182619684608653,449.0
lr-AdamW,0.00012182619684608653,499.0
lr-AdamW,0.0001206079323310405,549.0
lr-AdamW,0.0001206079323310405,599.0
lr-AdamW,0.00011940185504499823,649.0
lr-AdamW,0.00011940185504499823,699.0
lr-AdamW,0.00011820783402072266,749.0
lr-AdamW,0.00011820783402072266,799.0
train/seg_loss,1.4493591785430908,49.0
train/seg_loss,0.8759839534759521,99.0
train/seg_loss,0.8638125061988831,149.0
train/seg_loss,0.8136596083641052,199.0
train/seg_loss,0.5657631754875183,249.0
train/seg_loss,0.6989601254463196,299.0
train/seg_loss,0.4965820908546448,349.0
train/seg_loss,0.5079465508460999,399.0
train/seg_loss,0.35415154695510864,449.0
train/seg_loss,0.43480098247528076,499.0
train/seg_loss,0.39074409008026123,549.0
train/seg_loss,0.38845741748809814,599.0
train/seg_loss,0.2903807759284973,649.0
train/seg_loss,0.37457990646362305,699.0
train/seg_loss,0.3582245409488678,749.0
train/seg_loss,0.2795175313949585,799.0
train/scene_loss,0.0,49.0
train/scene_loss,0.0,99.0
train/scene_loss,0.0,149.0
train/scene_loss,0.0,199.0
train/scene_loss,0.0,249.0
train/scene_loss,0.0,299.0
train/scene_loss,0.0,349.0
train/scene_loss,0.0,399.0
train/scene_loss,0.0,449.0
train/scene_loss,0.0,499.0
train/scene_loss,0.0,549.0
train/scene_loss,0.0,599.0
train/scene_loss,0.0,649.0
train/scene_loss,0.0,699.0
train/scene_loss,0.0,749.0
train/scene_loss,0.0,799.0
train/loss,1.4493591785430908,49.0
train/loss,0.8759839534759521,99.0
train/loss,0.8638125061988831,149.0
train/loss,0.8136596083641052,199.0
train/loss,0.5657631754875183,249.0
train/loss,0.6989601254463196,299.0
train/loss,0.4965820908546448,349.0
train/loss,0.5079465508460999,399.0
train/loss,0.35415154695510864,449.0
train/loss,0.43480098247528076,499.0
train/loss,0.39074409008026123,549.0
train/loss,0.38845741748809814,599.0
train/loss,0.2903807759284973,649.0
train/loss,0.37457990646362305,699.0
train/loss,0.3582245409488678,749.0
train/loss,0.2795175313949585,799.0
epoch,0.0,49.0
epoch,0.0,99.0
epoch,0.0,99.0
epoch,1.0,149.0
epoch,1.0,199.0
epoch,1.0,199.0
epoch,2.0,249.0
epoch,2.0,299.0
epoch,2.0,299.0
epoch,3.0,349.0
epoch,3.0,399.0
epoch,3.0,399.0
epoch,4.0,449.0
epoch,4.0,499.0
epoch,4.0,499.0
epoch,5.0,549.0
epoch,5.0,599.0
epoch,5.0,599.0
epoch,6.0,649.0
epoch,6.0,699.0
epoch,6.0,699.0
epoch,7.0,749.0
epoch,7.0,799.0
epoch,7.0,799.0
val/seg_loss,1.251157522201538,99.0
val/seg_loss,1.014382243156433,199.0
val/seg_loss,1.02654230594635,299.0
val/seg_loss,1.0140994787216187,399.0
val/seg_loss,0.9432721138000488,499.0
val/seg_loss,0.9774577617645264,599.0
val/seg_loss,1.1039661169052124,699.0
val/seg_loss,1.1524845361709595,799.0
val/scene_loss,0.0,99.0
val/scene_loss,0.0,199.0
val/scene_loss,0.0,299.0
val/scene_loss,0.0,399.0
val/scene_loss,0.0,499.0
val/scene_loss,0.0,599.0
val/scene_loss,0.0,699.0
val/scene_loss,0.0,799.0
val/loss,1.251157522201538,99.0
val/loss,1.014382243156433,199.0
val/loss,1.02654230594635,299.0
val/loss,1.0140994787216187,399.0
val/loss,0.9432721138000488,499.0
val/loss,0.9774577617645264,599.0
val/loss,1.1039661169052124,699.0
val/loss,1.1524845361709595,799.0
test/classification/F1Score/other_indoor,0.2795698940753937,800.0
test/classification/F1Score/kitchen,0.196428582072258,800.0
test/classification/F1Score/bedroom,0.10232558101415634,800.0
test/classification/F1Score/living_room,0.16129031777381897,800.0
test/classification/F1Score/bathroom,0.1538461595773697,800.0
test/classification/F1Score/office,0.0,800.0
test/classification/F1Score/dining_room,0.07954545319080353,800.0
test/classification/MulticlassAccuracy/other_indoor,0.49056604504585266,800.0
test/classification/MulticlassAccuracy/kitchen,0.12941177189350128,800.0
test/classification/MulticlassAccuracy/bedroom,0.07189542800188065,800.0
test/classification/MulticlassAccuracy/living_room,0.1744185984134674,800.0
test/classification/MulticlassAccuracy/bathroom,0.17391304671764374,800.0
test/classification/MulticlassAccuracy/office,0.0,800.0
test/classification/MulticlassAccuracy/dining_room,0.15909090638160706,800.0
test/classification/macro/F1Score,0.13900086283683777,800.0
test/classification/macro/MulticlassAccuracy,0.17132796347141266,800.0
test/segmentation/MulticlassJaccardIndex/window,0.5136491656303406,800.0
test/segmentation/MulticlassJaccardIndex/bed,0.549850344657898,800.0
test/segmentation/MulticlassJaccardIndex/books,0.20821760594844818,800.0
test/segmentation/MulticlassJaccardIndex/ceiling,0.5015367269515991,800.0
test/segmentation/MulticlassJaccardIndex/chair,0.4712074100971222,800.0
test/segmentation/MulticlassJaccardIndex/floor,0.7788239121437073,800.0
test/segmentation/MulticlassJaccardIndex/furniture,0.4242008328437805,800.0
test/segmentation/MulticlassJaccardIndex/objects,0.3539291322231293,800.0
test/segmentation/MulticlassJaccardIndex/picture,0.41734498739242554,800.0
test/segmentation/MulticlassJaccardIndex/sofa,0.5177608728408813,800.0
test/segmentation/MulticlassJaccardIndex/table,0.3288222849369049,800.0
test/segmentation/MulticlassJaccardIndex/tv,0.2764929234981537,800.0
test/segmentation/MulticlassJaccardIndex/wall,0.675868809223175,800.0
test/segmentation/MulticlassAccuracy/window,0.8051116466522217,800.0
test/segmentation/MulticlassAccuracy/bed,0.8496997356414795,800.0
test/segmentation/MulticlassAccuracy/books,0.706718385219574,800.0
test/segmentation/MulticlassAccuracy/ceiling,0.7905548214912415,800.0
test/segmentation/MulticlassAccuracy/chair,0.681325376033783,800.0
test/segmentation/MulticlassAccuracy/floor,0.9103900194168091,800.0
test/segmentation/MulticlassAccuracy/furniture,0.540963351726532,800.0
test/segmentation/MulticlassAccuracy/objects,0.4535844624042511,800.0
test/segmentation/MulticlassAccuracy/picture,0.818701446056366,800.0
test/segmentation/MulticlassAccuracy/sofa,0.7172962427139282,800.0
test/segmentation/MulticlassAccuracy/table,0.5317589640617371,800.0
test/segmentation/MulticlassAccuracy/tv,0.7949267029762268,800.0
test/segmentation/MulticlassAccuracy/wall,0.7415584921836853,800.0
test/segmentation/macro/MulticlassJaccardIndex,0.4629003703594208,800.0
test/segmentation/macro/MulticlassAccuracy,0.7186607122421265,800.0
epoch,4.0,800.0
