metric,value,step
test/classification/F1Score/other_indoor,0.37837836146354675,1800.0
test/classification/F1Score/kitchen,0.680272102355957,1800.0
test/classification/F1Score/bedroom,0.7687296271324158,1800.0
test/classification/F1Score/living_room,0.5079365372657776,1800.0
test/classification/F1Score/bathroom,0.7454545497894287,1800.0
test/classification/F1Score/office,0.29885056614875793,1800.0
test/classification/F1Score/dining_room,0.49484536051750183,1800.0
test/classification/MulticlassAccuracy/other_indoor,0.3962264060974121,1800.0
test/classification/MulticlassAccuracy/kitchen,0.5882353186607361,1800.0
test/classification/MulticlassAccuracy/bedroom,0.7712418437004089,1800.0
test/classification/MulticlassAccuracy/living_room,0.5581395626068115,1800.0
test/classification/MulticlassAccuracy/bathroom,0.8913043737411499,1800.0
test/classification/MulticlassAccuracy/office,0.22807016968727112,1800.0
test/classification/MulticlassAccuracy/dining_room,0.5454545617103577,1800.0
test/classification/macro/F1Score,0.5534953474998474,1800.0
test/classification/macro/MulticlassAccuracy,0.5683817863464355,1800.0
test/segmentation/MulticlassJaccardIndex/window,0.5136491656303406,800.0
test/segmentation/MulticlassJaccardIndex/bed,0.549850344657898,800.0
test/segmentation/MulticlassJaccardIndex/books,0.20821760594844818,800.0
test/segmentation/MulticlassJaccardIndex/ceiling,0.5015367269515991,800.0
test/segmentation/MulticlassJaccardIndex/chair,0.4712074100971222,800.0
test/segmentation/MulticlassJaccardIndex/floor,0.7788239121437073,800.0
test/segmentation/MulticlassJaccardIndex/furniture,0.4242008328437805,800.0
test/segmentation/MulticlassJaccardIndex/objects,0.3539291322231293,800.0
test/segmentation/MulticlassJaccardIndex/picture,0.41734498739242554,800.0
test/segmentation/MulticlassJaccardIndex/sofa,0.5177608728408813,800.0
test/segmentation/MulticlassJaccardIndex/table,0.3288222849369049,800.0
test/segmentation/MulticlassJaccardIndex/tv,0.2764929234981537,800.0
test/segmentation/MulticlassJaccardIndex/wall,0.675868809223175,800.0
test/segmentation/MulticlassAccuracy/window,0.8051116466522217,800.0
test/segmentation/MulticlassAccuracy/bed,0.8496997356414795,800.0
test/segmentation/MulticlassAccuracy/books,0.706718385219574,800.0
test/segmentation/MulticlassAccuracy/ceiling,0.7905548214912415,800.0
test/segmentation/MulticlassAccuracy/chair,0.681325376033783,800.0
test/segmentation/MulticlassAccuracy/floor,0.9103900194168091,800.0
test/segmentation/MulticlassAccuracy/furniture,0.540963351726532,800.0
test/segmentation/MulticlassAccuracy/objects,0.4535844624042511,800.0
test/segmentation/MulticlassAccuracy/picture,0.818701446056366,800.0
test/segmentation/MulticlassAccuracy/sofa,0.7172962427139282,800.0
test/segmentation/MulticlassAccuracy/table,0.5317589640617371,800.0
test/segmentation/MulticlassAccuracy/tv,0.7949267029762268,800.0
test/segmentation/MulticlassAccuracy/wall,0.7415584921836853,800.0
test/segmentation/macro/MulticlassJaccardIndex,0.4629003703594208,800.0
test/segmentation/macro/MulticlassAccuracy,0.7186607122421265,800.0
epoch,14.0,1800.0
